pcode,level,parent_pcode,name,center_lat,center_lon
GN00600409,3,GN006004,Mali Ctre,12.0630045,-12.2319431
GN00500407,3,GN005004,Mambia,9.77402,-13.10932365
GN00700206,3,GN007002,Mamou Ctre,10.3923195,-12.12178323
GN00400108,3,GN004001,Mamouroudou,9.5910165,-9.35917224
GN00400408,3,GN004004,Mandiana Ctre,10.60734,-8.79469596
GN00400109,3,GN004001,Missamana,10.225146,-8.91171492
GN00600105,3,GN006001,Missira,11.4587345,-11.96933127
GN00700109,3,GN007001,Mitty,10.839817,-12.29806203
GN00500408,3,GN005004,Molota,9.84584,-12.79037841
GN00700110,3,GN007001,Mombeyah,11.23819,-12.05898489
GN00800207,3,GN008002,Nongoa,8.520482,-10.31836146
GN00400110,3,GN004001,Moribayah,9.912032,-9.56715126
GN00400409,3,GN004004,Morodou,10.913223,-8.73202102
GN00800110,3,GN008001,Moussadou,8.8565515,-8.54805007
GN00500309,3,GN005003,Moussayah,9.49142562,-12.81759919
GN00300109,3,GN003001,Ndema,10.654495,-11.09454749
GN00800409,3,GN008004,Nzebela,8.130862,-9.09509051
GN00800506,3,GN008005,Nzerekore Ctre,7.7391225,-8.83580732
GN00800308,3,GN008003,Nzoo,7.657988,-8.30007532
GN00400507,3,GN004005,Naboun,12.04894686,-9.50179327
GN00800111,3,GN008001,Nionsomoridou,8.7053655,-8.85037294
GN00400508,3,GN004005,Niagassola,12.103722,-9.09245123
GN00400509,3,GN004005,Niandankoro,11.2042315,-9.34018467
GN00400410,3,GN004004,Niantanina,10.92934,-8.43898499
GN00700307,3,GN007003,Ninguelande,11.15725,-12.69551441
GN00400510,3,GN004005,Norassoba,11.1596975,-9.63997733
GN00600210,3,GN006002,Noussy,11.227836,-12.21451729
GN00700207,3,GN007002,Nyagara,10.799032,-11.80624518
GN00500205,3,GN005002,Ouassou,10.1274,-13.58264983
GN00800208,3,GN008002,Ouende Kenema,8.4090055,-10.49793382
GN00700310,3,GN007003,Sintali,11.1036265,-12.43385195
GN00700208,3,GN007002,Oure Kaba,10.2173565,-11.57009014
GN00800410,3,GN008004,Ouremai,8.27017828,-9.41482884
GN00800507,3,GN008005,Pale,8.0269265,-8.88086437
GN00800411,3,GN008004,Panziazou,8.588907,-9.83183454
GN00600309,3,GN006003,Parawol,11.3387175,-12.6703603
GN00400111,3,GN004001,Sabadou Baranama,9.935407,-8.77933918
GN00300308,3,GN003003,Passaya,10.3703065,-10.91978163
GN00800606,3,GN008006,Pela,7.6045635,-9.06592839
GN00600106,3,GN006001,Pilimini,11.5910075,-12.09848237
GN00700308,3,GN007003,Pita Ctre,11.0648145,-12.41996761
GN00600211,3,GN006002,Popodara,11.374546,-12.40466297
GN00700209,3,GN007002,Poredaka,10.70805,-12.05080625
GN00600310,3,GN006003,Sagale,11.3255365,-12.86189178
GN00800112,3,GN008001,Sakourala,9.2894185,-8.08388916
GN00400411,3,GN004004,Saladou,10.30425,-8.27568599
GN00600410,3,GN006004,Salambande,11.9489815,-11.90344853
GN00800113,3,GN008001,Samana,9.142624,-8.59122371
GN00500409,3,GN005004,Samaya,10.11776,-13.07105285
GN00100404,3,GN001004,Sambailo,12.5545945,-13.48163243
GN00800508,3,GN008005,Samoe,7.850732,-8.86297028
GN00300309,3,GN003003,Sandenia,10.1165035,-11.03416385
GN00300411,3,GN003004,Sangardo,9.410861,-10.22329559
GN00700309,3,GN007003,Sangareah,10.693645,-12.76783625
GN00300208,3,GN003002,Selouma,11.172756,-10.96520503
GN00100208,3,GN001002,Sangaredi,11.10728,-13.91554086
GN00400312,3,GN004003,Sanguiana,10.8193875,-10.20114451
GN00600212,3,GN006002,Sannou,11.433388,-12.14442313
GN00100405,3,GN001004,Sareboido,12.36476491,-13.55797065
GN00500509,3,GN005005,Sarekali,10.99443,-12.99436778
GN00100209,3,GN001002,Sansale,11.319345,-14.71991901
GN00400412,3,GN004004,Sansando,11.024645,-9.06086564
GN00700210,3,GN007002,Saramoussaya,10.728238,-11.59735006
GN00600411,3,GN006004,Telire,11.869483,-12.05944563
GN00800412,3,GN008004,Sengbedou,8.514214,-9.27438455
GN00800413,3,GN008004,Seredou,8.2879615,-9.22450028
GN00400207,3,GN004002,Sibiribaro,8.9232835,-9.32205503
GN00400511,3,GN004005,Siguiri Ctre,11.409434,-9.18429572
GN00400512,3,GN004005,Siguirini,11.835886,-10.0444839
GN00500310,3,GN005003,Sikhourou,9.62128,-12.74381297
GN00800114,3,GN008001,Sinko,8.9074165,-8.19139793
GN00300310,3,GN003003,Songoyah,9.707275,-10.85977912
GN00400208,3,GN004002,Soromaya,9.1608135,-9.54165506
GN00500410,3,GN005004,Sougueta,10.29425,-12.55063193
GN00800509,3,GN008005,Soulouta,7.9642055,-8.64171168
GN00500512,3,GN005005,Tarihoye,11.001887,-13.24349517
GN00700211,3,GN007002,Soyah,10.1818155,-12.01112323
GN00100107,3,GN001001,Tamita,10.18157705,-13.92465774
GN00800210,3,GN008002,Termassadou,8.6468715,-10.23585724
GN00600509,3,GN006005,Tangali,11.325865,-11.87803748
GN00700212,3,GN007002,Teguereyah,11.0703205,-11.40050784
GN00800209,3,GN008002,Tekoulo,8.544164,-9.9861173
GN00100406,3,GN001004,Termesse,12.287688,-12.78628889
GN00600311,3,GN006003,Tianguel Bori,11.638907,-12.61176315
GN00700311,3,GN007003,Timbi Madina,11.2036405,-12.55737791
GN00700312,3,GN007003,Timbi Touni,11.0574795,-12.5622334
GN00700213,3,GN007002,Timbo,10.6298555,-11.80465188
GN00100504,3,GN001005,Tormelin,10.35011,-13.74622178
GN00600412,3,GN006004,Touba,12.186637,-12.67753822
GN00400112,3,GN004001,Tinti Oulen,10.0687675,-9.21760999
GN00300311,3,GN003003,Tiro,9.761472,-10.56016773
GN00400113,3,GN004001,Tokounou,9.632437,-9.73220671
GN00700214,3,GN007002,Tolo,10.526688,-12.09765952
GN00500207,3,GN005002,Tondon,10.347515,-13.32120112
GN00100307,3,GN001003,Touba,11.5830295,-12.99627616
GN00100108,3,GN001001,Tougnifily,10.37946081,-14.36844423
GN00600510,3,GN006005,Tougue Ctre,11.456774,-11.67095071
GN00800309,3,GN008003,Tounkarata,7.7720165,-8.16909442
GN00300301,3,GN003003,Banian,9.466832,-10.61076244
GN00200101,3,GN002001,Dixinn,9.548086,-13.67210843
GN00200102,3,GN002001,Kaloum,9.51491022,-13.7104736
GN00200103,3,GN002001,Matam,9.542994,-13.66270846
GN00200105,3,GN002001,Ratoma,9.66037477,-13.59157839
GN00200104,3,GN002001,Matoto,9.5934165,-13.55106372
GN00100205,3,GN001002,Kanfarande,10.90238987,-14.65015861
GN00800103,3,GN008001,Diaraguerela,8.568501,-8.39622466
